Hour,Scaled Value
0,0.48999086529780694
1,0.46553150629157375
2,0.45669045379195655
3,0.4559316130937663
4,0.4769722471609444
5,0.53637805226415
6,0.6045348554566726
7,0.6524074459572057
8,0.6780729636303073
9,0.6938829476196547
10,0.7021513202904838
11,0.7024824174360926
12,0.7002916305661843
13,0.6977579780340166
14,0.6948681276537175
15,0.6906410166203024
16,0.6797960660137149
17,0.660784812525551
18,0.6366954844825171
19,0.6055232276496477
20,0.5696867318504851
21,0.5423463858015619
22,0.5246899615299058
23,0.5130015991055178
